model,image_size,prompt_name,image_filename,tags,raw_output,timestamp,success
llava:7b,768,01-structured-comprehensive,01-street-meditation-couple.jpg,"affection, bench, city, cold, couple, love, night, sidewalk, sitting, street, urban, winter"," couple, sitting, bench, street, sidewalk, city, winter, cold, love, affection, urban, night ",2025-06-25T01:08:40-04:00,true
llava:7b,768,01-structured-comprehensive,02-graffiti-skate-park.jpg,"abandoned, colorful, concrete floor, graffiti, indoor, metal beams, person standing, skateboard ramp, urban"," indoor, graffiti, skateboard ramp, person standing, concrete floor, metal beams, urban, abandoned, colorful ",2025-06-25T01:08:41-04:00,true
llava:7b,768,01-structured-comprehensive,03-belgian-stew-fries.jpg,"dining table, evening, food, fork, french fries, indoor, knife, plate, restaurant, sauce"," french fries, plate, food, dining table, fork, knife, sauce, restaurant, indoor, evening ",2025-06-25T01:08:42-04:00,true
llava:7b,768,01-structured-comprehensive,04-cheese-fondue-dinner.jpg,"bread, cheese, dining table, evening, food, fries, indoor, person, restaurant, sauce, soup"," soup, fries, bread, cheese, sauce, dining table, person, food, restaurant, indoor, evening ",2025-06-25T01:08:44-04:00,true
llava:7b,768,01-structured-comprehensive,05-snowboarders-mountain-rest.jpg,"cold, group, mountain, outdoor, people, skiing, snow, snowboarding, winter"," snow, people, skiing, mountain, winter, group, snowboarding, cold, outdoor ",2025-06-25T01:08:45-04:00,true
llava:7b,768,01-structured-comprehensive,06-alpine-trail-hiker.jpg,"camping, daytime, fire pit, forest, grill, leisurely, outdoor, people 2, picnic table, relaxed, snow, trees"," camping, forest, people 2, picnic table, grill, fire pit, trees, snow, outdoor, daytime, leisurely, relaxed ",2025-06-25T01:08:46-04:00,true
llava:7b,768,01-structured-comprehensive,07-restaurant-group-dinner.jpg,"casual clothing, cell phone, dining table, drinks, food, indoor, people, relaxed atmosphere, restaurant, socializing"," indoor, restaurant, people, socializing, dining table, food, drinks, cell phone, casual clothing, relaxed atmosphere ",2025-06-25T01:08:47-04:00,true
llava:7b,768,01-structured-comprehensive,08-neon-bar-friends.jpg,"drinking, indoor, night, people, purple lights, sitting, socializing, warm"," purple lights, people, socializing, sitting, drinking, warm, indoor, night ",2025-06-25T01:08:48-04:00,true
llava:7b,768,01-structured-comprehensive,09-record-store-group-photo.jpg,"bookshelves, casual, colorful, evening, friendly, group, indoor, people, posing, record store, smiling, vibrant"," record store, people, group, smiling, posing, bookshelves, colorful, vibrant, indoor, evening, casual, friendly ",2025-06-25T01:08:50-04:00,true
llava:7b,768,01-structured-comprehensive,10-alpine-peaks-vista.jpg,"blue sky, clouds, daytime, majestic, mountain range, outdoor, serene, snow, snowy mountains"," snowy mountains, clouds, blue sky, snow, mountain range, outdoor, daytime, majestic, serene ",2025-06-25T01:08:51-04:00,true
llava:7b,768,01-structured-comprehensive,11-blue-sneakers-blacklight.jpg,"blue, blue sneakers, green, green floor, indoors, night, people, purple, purple shoes, sitting"," purple shoes, blue sneakers, green floor, people, sitting, purple, blue, green, indoors, night ",2025-06-25T01:08:52-04:00,true
llava:7b,768,01-structured-comprehensive,12-winter-jackets-uv-light.jpg,"colorful, festive, indoor, night, people, purple lights"," purple lights, people, night, indoor, festive, colorful ",2025-06-25T01:08:53-04:00,true
llava:7b,768,01-structured-comprehensive,13-couple-train-selfie.jpg,"bench, couple, people, sitting, smiling, train, window"," couple, sitting, smiling, train, window, bench, people ",2025-06-25T01:08:54-04:00,true
llava:7b,768,01-structured-comprehensive,14-freddie-mercury-statue.jpg,"bronze, building, cloudy, daytime, flag, grass, hero, man, monument, outdoor, park, person, plaque, sculpture, sidewalk, sky, sports ball, statue, trees"," statue, plaque, grass, sidewalk, park, monument, bronze, sculpture, person, man, hero, sports ball, flag, building, trees, sky, cloudy, outdoor, daytime ",2025-06-25T01:08:56-04:00,true
llava:7b,768,01-structured-comprehensive,15-red-eyes-costume-display.jpg,"clown suit, display case, red background, red jacket"," red jacket, clown suit, red background, display case ",2025-06-25T01:08:57-04:00,true
llava:7b,768,01-structured-comprehensive,16-highland-cattle-pen.jpg,"animals, cows, fence, field, grass, horns, long hair, nature, rural"," cows, long hair, horns, field, grass, fence, rural, animals, nature ",2025-06-25T01:08:58-04:00,true
llava:7b,768,01-structured-comprehensive,17-european-town-rooftop-view.jpg,"3-people, balconies, brick building, cityscape, cobblestone street, daytime, metal roof, neutral mood, old architecture, overcast sky, people, stone wall, urban environment, walking, windows, wooden beams"," brick building, cobblestone street, old architecture, stone wall, wooden beams, metal roof, windows, balconies, people, 3-people, walking, cityscape, urban environment, daytime, overcast sky, neutral mood ",2025-06-25T01:09:00-04:00,true
llava:7b,768,01-structured-comprehensive,18-poppy-seed-cake-slices.jpg,"bread, food, pastries, spices, table"," bread, spices, pastries, food, table ",2025-06-25T01:09:01-04:00,true
llava:7b,768,01-structured-comprehensive,19-louvre-pyramid-courtyard.jpg,"dominant colors: gray, white"," dominant colors: gray, white accent colors: black, red objects in foreground: people, monument objects in background: monument, building people presence: 3-people their actions: walking interactions: none visible emotions: calm setting type: outdoor, location: paris, france weather: overcast time of day: daytime mood or ambiance: touristy, historical ",2025-06-25T01:09:03-04:00,true
