image_filename,tags,raw_output,timestamp,success
01-street-meditation-couple.jpg,"ids 0.38, 0.3, 0.61, 0.55","ids [0.38, 0.3, 0.61, 0.55]",2025-06-24T16:26:12-04:00,true
02-graffiti-skate-park.jpg,"ids 0.17, 0.61, 0.83, 0.82","ids [0.17, 0.61, 0.83, 0.82]",2025-06-24T16:26:13-04:00,true
03-belgian-stew-fries.jpg,"ids 0.13, 0.3, 0.37, 0.46","ids [0.13, 0.3, 0.37, 0.46]",2025-06-24T16:26:15-04:00,true
04-cheese-fondue-dinner.jpg,"0.33, 0.17, 0.53, 0.32","  0.33, 0.17, 0.53, 0.32",2025-06-24T16:26:17-04:00,true
05-snowboarders-mountain-rest.jpg,"ids 0.36, 0.46, 1.0, 0.66","ids [0.36, 0.46, 1.0, 0.66]",2025-06-24T16:26:18-04:00,true
06-alpine-trail-hiker.jpg,"ids 0.22, 0.62, 0.8, 0.81","ids [0.22, 0.62, 0.8, 0.81]",2025-06-24T16:26:19-04:00,true
07-restaurant-group-dinner.jpg,"ids 0.12, 0.5, 0.87, 0.78","ids [0.12, 0.5, 0.87, 0.78]",2025-06-24T16:26:20-04:00,true
08-neon-bar-friends.jpg,"ids 0.25, 0.46, 0.75, 0.67","ids [0.25, 0.46, 0.75, 0.67]",2025-06-24T16:26:23-04:00,true
09-record-store-group-photo.jpg,"ids 0.24, 0.66, 0.32, 0.73","ids [0.24, 0.66, 0.32, 0.73]",2025-06-24T16:26:24-04:00,true
10-alpine-peaks-vista.jpg,"ids 0.13, 0.6, 0.87, 0.83","ids [0.13, 0.6, 0.87, 0.83]",2025-06-24T16:26:26-04:00,true
11-blue-sneakers-blacklight.jpg,"0.17, 0.3, 0.83, 0.6","  [0.17, 0.3, 0.83, 0.6]",2025-06-24T16:26:29-04:00,true
12-winter-jackets-uv-light.jpg,"ids 0.25, 0.42, 0.78, 0.71","ids [0.25, 0.42, 0.78, 0.71]",2025-06-24T16:26:31-04:00,true
13-couple-train-selfie.jpg,"ids 0.26, 0.3, 0.81, 0.5","ids [0.26, 0.3, 0.81, 0.5]",2025-06-24T16:26:33-04:00,true
14-freddie-mercury-statue.jpg,"ids 0.39, 0.61, 0.46, 0.67","ids [0.39, 0.61, 0.46, 0.67]",2025-06-24T16:26:34-04:00,true
15-red-eyes-costume-display.jpg,"0.42, 0.53, 0.48, 0.58","  [0.42, 0.53, 0.48, 0.58]",2025-06-24T16:26:37-04:00,true
16-highland-cattle-pen.jpg,"ids 0.17, 0.46, 0.83, 0.64","ids [0.17, 0.46, 0.83, 0.64]",2025-06-24T16:26:39-04:00,true
17-european-town-rooftop-view.jpg,"ids 0.25, 0.3, 0.53, 0.49","ids [0.25, 0.3, 0.53, 0.49]",2025-06-24T16:26:40-04:00,true
18-poppy-seed-cake-slices.jpg,"ids 0.12, 0.46, 0.87, 0.67","ids [0.12, 0.46, 0.87, 0.67]",2025-06-24T16:26:43-04:00,true
19-louvre-pyramid-courtyard.jpg,"ids 0.32, 0.5, 1.0, 0.66","ids [0.32, 0.5, 1.0, 0.66]",2025-06-24T16:26:46-04:00,true
20-woman-admiring-classical-statue.jpg,"ids 0.13, 0.52, 0.87, 0.83","ids [0.13, 0.52, 0.87, 0.83]",2025-06-24T16:26:48-04:00,true
21-jeweled-royal-crown-display.jpg,"ids 0.24, 0.42, 0.5, 0.63","ids [0.24, 0.42, 0.5, 0.63]",2025-06-24T16:26:50-04:00,true
22-catacomb-skull-bone-wall.jpg,"ids 0.2, 0.46, 0.32, 0.55","ids [0.2, 0.46, 0.32, 0.55]",2025-06-24T16:26:53-04:00,true
23-catacomb-ossuary-plaque.jpg,ids,ids,2025-06-24T16:26:54-04:00,true
24-forest-waterfall-moss-covered.jpg,"ids 0.23, 0.63, 0.78, 0.82","ids [0.23, 0.63, 0.78, 0.82]",2025-06-24T16:26:57-04:00,true
25-dog-playing-in-river.jpg,"ids 0.2, 0.46, 0.83, 0.64","ids [0.2, 0.46, 0.83, 0.64]",2025-06-24T16:26:59-04:00,true
26-outdoor-cedar-plank-cooking.jpg,"ids 0.24, 0.52, 0.83, 0.7","ids [0.24, 0.52, 0.83, 0.7]",2025-06-24T16:27:01-04:00,true
27-woman-mountain-summit-view.jpg,"ids 0.3, 0.62, 0.64, 0.81","ids [0.3, 0.62, 0.64, 0.81]",2025-06-24T16:27:03-04:00,true
28-theatrical-stage-projection-design.jpg,"ids 0.2, 0.44, 0.5, 0.6","ids [0.2, 0.44, 0.5, 0.6]",2025-06-24T16:27:05-04:00,true
29-excited-black-brown-dog.jpg,"ids 0.2, 0.12, 0.83, 0.87","ids [0.2, 0.12, 0.83, 0.87]",2025-06-24T16:27:07-04:00,true
30-woman-smiling-on-boat.jpg,"ids 0.2, 0.3, 0.49, 0.55","ids [0.2, 0.3, 0.49, 0.55]",2025-06-24T16:27:08-04:00,true
31-wildebeest-herd-grazing-savanna.jpg,"ids 0.2, 0.45, 0.8, 0.65","ids [0.2, 0.45, 0.8, 0.65]",2025-06-24T16:27:10-04:00,true
32-urban-fire-smoke-city-skyline.jpg,"ids 0.13, 0.62, 0.87, 0.8","ids [0.13, 0.62, 0.87, 0.8]",2025-06-24T16:27:12-04:00,true
33-seabird-flying-over-pine-trees.jpg,"ids 0.17, 0.65, 0.83, 0.82","ids [0.17, 0.65, 0.83, 0.82]",2025-06-24T16:27:13-04:00,true
34-humpback-whale-breaching-ocean.jpg,"ids 0.17, 0.47, 0.83, 0.67","ids [0.17, 0.47, 0.83, 0.67]",2025-06-24T16:27:14-04:00,true
35-whale-tail-diving-forest-coastline.jpg,"ids 0.17, 0.65, 0.83, 0.81","ids [0.17, 0.65, 0.83, 0.81]",2025-06-24T16:27:15-04:00,true
36-quiche-held-coastal-landscape.jpg,"ids 0.13, 0.62, 0.87, 0.79","ids [0.13, 0.62, 0.87, 0.79]",2025-06-24T16:27:16-04:00,true
37-urban-deer-family-crossing-street.jpg,"ids 0.13, 0.51, 0.61, 0.66","ids [0.13, 0.51, 0.61, 0.66]",2025-06-24T16:27:17-04:00,true
38-sunset-reflection-over-water.jpg,"ids 0.24, 0.61, 0.83, 0.76","ids [0.24, 0.61, 0.83, 0.76]",2025-06-24T16:27:17-04:00,true
39-orange-sunset-lake-silhouette.jpg,"ids 0.17, 0.54, 0.82, 0.65","ids [0.17, 0.54, 0.82, 0.65]",2025-06-24T16:27:18-04:00,true
40-sleeping-dog-close-up-portrait.jpg,"ids 0.2, 0.62, 0.83, 0.87","ids [0.2, 0.62, 0.83, 0.87]",2025-06-24T16:27:19-04:00,true
41-black-dog-on-rocky-riverbed.jpg,"ids 0.12, 0.46, 0.87, 0.59","ids [0.12, 0.46, 0.87, 0.59]",2025-06-24T16:27:20-04:00,true
42-abandoned-blue-wheelbarrow-forest.jpg,"ids 0.17, 0.49, 0.83, 0.79","ids [0.17, 0.49, 0.83, 0.79]",2025-06-24T16:27:21-04:00,true
43-purple-foxglove-with-raindrops.jpg,"ids 0.13, 0.39, 0.87, 0.54","ids [0.13, 0.39, 0.87, 0.54]",2025-06-24T16:27:22-04:00,true
44-foxglove-flowers-forest-meadow.jpg,"ids 0.13, 0.43, 0.87, 0.55","ids [0.13, 0.43, 0.87, 0.55]",2025-06-24T16:27:23-04:00,true
45-hiker-with-dog-forest-trail.jpg,"ids 0.33, 0.39, 0.51, 0.49","ids [0.33, 0.39, 0.51, 0.49]",2025-06-24T16:27:23-04:00,true
46-aerial-view-coastal-town.jpg,"ids 0.1, 0.4, 0.99, 0.55","ids [0.1, 0.4, 0.99, 0.55]",2025-06-24T16:27:24-04:00,true
47-office-party-snack-table.jpg,"ids 0.2, 0.62, 0.83, 0.87","ids [0.2, 0.62, 0.83, 0.87]",2025-06-24T16:27:25-04:00,true
